step,df,V,P,Q,I,action,reward,load_disturbance
1,0.007185982074588537,0.9936971664428711,0.5661139488220215,0.19934460520744324,0.6039929389953613,-0.0018245045794174075,-0.0014323562873116368,0.0
2,0.006351009011268616,0.9940713047981262,0.5727640986442566,0.1945190727710724,0.6085013151168823,-0.0006932991673238575,-0.001158696016202041,0.0
3,0.004916827194392681,0.9933024644851685,0.5604944825172424,0.19968341290950775,0.5990140438079834,-0.0005079965922050178,-0.0009322127568937841,0.0
4,0.003053548512980342,0.9937195181846619,0.5506163835525513,0.19199338555335999,0.5868148803710938,-0.0005621321615763009,-0.0005810846489758028,0.0
5,0.0041834949515759945,0.9935734272003174,0.5602037310600281,0.1966715157032013,0.5975640416145325,-0.0007373409462161362,-0.0007633187866849622,0.0
6,0.004812299273908138,0.9935839772224426,0.5624090433120728,0.19974108040332794,0.6006792783737183,-0.0005381868104450405,-0.0008749696084092571,0.0
7,0.0046628741547465324,0.9932039976119995,0.5577918291091919,0.19730795919895172,0.5957089066505432,-0.0005020295502617955,-0.0008968311982282711,0.0
8,0.002533708931878209,0.9948223233222961,0.5602890253067017,0.18826191127300262,0.5941485166549683,-0.0006425643805414438,-0.0003966889380095612,0.0
9,0.001642388291656971,0.9950437545776367,0.5574434995651245,0.18899956345558167,0.5915438532829285,-0.0004993364564143121,-0.00029972402693846103,0.0
10,0.0027312187012284994,0.9950630068778992,0.5506112575531006,0.18770141899585724,0.584611713886261,-0.00045857703662477434,-0.00039303665293963875,0.0
11,0.003223525593057275,0.9936567544937134,0.5589586496353149,0.19270332157611847,0.595018208026886,-0.0007878814940340817,-0.0006105188678308462,0.0
12,0.0035475781187415123,0.9927268624305725,0.5618020296096802,0.19704380631446838,0.5997170209884644,-0.0005265355575829744,-0.0007808474023457547,0.0
13,0.0038722401950508356,0.9933971166610718,0.5548144578933716,0.19729885458946228,0.5927653312683105,-0.000405411294195801,-0.0007359538568521403,0.0
14,0.005086616612970829,0.9948766827583313,0.5558931827545166,0.18974094092845917,0.5904078483581543,-0.0006294050836004317,-0.0007801623108832771,0.0
15,0.005283777602016926,0.9956948757171631,0.5602161288261414,0.19098587334156036,0.5944355726242065,-0.0008905581198632717,-0.0007441179586958788,0.0
16,0.0022853498812764883,0.9956137537956238,0.5529587864875793,0.188611701130867,0.5868151187896729,-0.0007888691034168005,-0.0002971598376493521,0.0
17,-0.0005456992657855153,0.994890034198761,0.5490480065345764,0.19204795360565186,0.5846542716026306,-0.000664621009491384,-0.0002672979538706331,0.0
18,-0.000764871365390718,0.9942436218261719,0.55224609375,0.19629015028476715,0.5894867777824402,-0.00036600837484002113,-0.00034314139130573026,0.0
19,-0.00216105580329895,0.993584394454956,0.547743558883667,0.19225504994392395,0.5842524170875549,-0.00017637824930716306,-0.000505022363065378,0.0
20,-0.0005097910761833191,0.9954202771186829,0.5518423318862915,0.19123053550720215,0.5867239236831665,-0.0001913825690280646,-0.0002149556800803943,0.0
21,-0.0017987536266446114,0.9963089227676392,0.5475570559501648,0.18922634422779083,0.5814781188964844,-0.00031719080288894475,-0.00020100626550476842,0.0
22,-0.001798522542230785,0.995754599571228,0.55112224817276,0.19067950546741486,0.5856625437736511,-0.0003212889132555574,-0.00024497782438260993,0.0
